id	displayName	birthName	birthDate	birthLocation	heightCm	primaryProfessions	primaryImageUrl	biography
nm5905645	Lori Brotto					actress		Lori Brotto is known for Holistic Wealth Podcast with Keisha Blair (2021), (A)sexual (2011) and Global News Morning BC (2002).
nm11710315	Jeff Bronstein					actor		Jeff Bronstein is known for 'Rameau's Nephew' by Diderot (Thanx to Dennis Young) by Wilma Schoen (1974) (1974).
nm0636527	Eduardo Notari		1903-01-01	Naples, Italy		actor|director		Eduardo Notari was born on 1 January 1903 in Naples, Italy. He was an actor and director, known for 'A Santanotte (1922), Gennariello polizziotto (1921) and È piccerella (1922). He died in 1986.
nm0320852	William Girdler	William Brent Girdler	1947-10-22	Jefferson County, Kentucky, USA	173	composer|director|writer	https://m.media-amazon.com/images/M/MV5BZjdlNWI4ZDQtMGJiMy00ZDJkLWJiNTEtMjJmYjJlYjk1NzM3XkEyXkFqcGc@._V1_.jpg	Born October 22, 1947 in Jefferson County, Kentucky, William Brent Girdler launched his filmmaking career with the 1972 release of Asylum of Satan. He made a total of nine films in six years and provided the music for the Pat Patterson quickie Dr. Gore. Girdler died in a helicopter accident in the Philippines after completing his final movie The Manitou.  Girdler wore many hats in respect to his filmmaking, writing six of his nine films and composing the music for three. He also produced two of his own movies. His early works were filmed in his hometown of Louisville, KY with the assistance of many friends and local investors. Girdler's first two low budget horror entries, Asylum of Satan and Three on a Meathook, made only a slight impact on the drive-in movie scene, but they got his foot in the door with Sam Arkoff and AIP. Girdler subsequently made three blaxploitation films: Zebra Killer, Abby, and Sheba Baby. After his AIP stint ended, Girdler directed the political thriller Project Kill starring Leslie Nielsen. Eager to return to horror, Girdler sought finances from Edward Montoro and thus brought Grizzly and Day of the Animals into the world. Girdler hoped to strike gold when he bought the rights to Graham Masterton's 1976 best-selling novel 'The Manitou' for $50,000, and he did just that. Within three months of securing the rights, Girdler began shooting the movie with Tony Curtis and Susan Strasberg in the leading roles.  William Girdler's most successful effort is Grizzly, a bleak Jaws knockoff starring a giant fuzzy bear. Made on a fairly tight budget, Grizzly ranked among the most successful films of 1976. Abby, a 1974 Exorcist rip-off which prompted a lawsuit from Warner Brothers, was also a box-office hit and made more money via domestic rentals than Blacula. Legal issues prevented Girdler from seeing profits for both films. Other box office hits born of Girdler include the Pam Grier vehicle Sheba Baby and The Manitou (a posthumous hit).
nm5300973	Konstantin Chuzhitski					actor|assistant_director|stunts		Konstantin Chuzhitski is known for #Selfieparty (2016), Unforgotten Shadows (2013) and More Than Everything.
nm0776610	Andrea Schumacher		1967	Essen, North Rhine-Westphalia, Germany		editor|editorial_department|writer		Andrea Schumacher was born in 1967 in Essen, North Rhine-Westphalia, Germany. She is an editor and writer, known for The Reader (2008), 00 Schneider - Im Wendekreis der Eidechse (2013) and Schmitke (2014).
nm0855711	Siegfried Terpoorten		1971-09-15	Munich, Bavaria, West Germany	184	actor|producer	https://m.media-amazon.com/images/M/MV5BZWM3NGMzOTctOTRkYi00MDM4LWE3YTctYjVlY2NkN2MzYzhmXkEyXkFqcGc@._V1_.jpg	Siegfried Terpoorten was born on 15 September 1971 in Munich, Bavaria, West Germany. He is an actor and producer, known for 4 Against Z (2005), (T)Raumschiff Surprise - Periode 1 (2004) and Tappava talvi (2013). He has been married to Barbara Terpoorten since 2001. They have two children.
nm0063980	Alice Beardsley		1925-03-28	Richmond, Virginia, USA		actress	https://m.media-amazon.com/images/M/MV5BODY0MjE3MDI4N15BMl5BanBnXkFtZTcwODM5MjczMQ@@._V1_.jpg	Born in Richmond, Virginia, Alice Beardsley stepped a stage at the early age of 12. The event took place in the festival hall of her junior high school. Disguised as a witch, she enjoyed playing the villain in 'Hansel and Gretel'. And that was not to be a flash in the pan. Alice wanted to be a professional actress and she did become one. Indeed after graduating from the University of Iowa she studied acting very seriously, notably with Stella Adler. In 1955, she performed her first play in New York (she was Maggie in 'Eastward in Eden') and many, many plays were to follow on or off Broadway and in other places. Alice Beardsley also played bit parts in six movies (one of which is Woody Allen's 'Zelig') and appeared in several episodes of TV series like 'Naked City' 'U.S. Steel Hour' and 'American Playhouse', but her main activity remained theater.
nm7376227	Michael DeArmond					actor		Michael DeArmond is known for 1 Buck (2017).
nm2623537	Shiho Kihara					animation_department|cinematographer|miscellaneous		Shiho Kihara is known for .hack//G.U. Vol.3//Redemption (2007), .Hack//The Movie (2012) and .hack//G.U. Vol.1//Rebirth (2006).
nm3667136	Urban Monk					composer|soundtrack		Urban Monk is known for Anti-Social (2015), 1 Day (2009) and One Mile Away (2012).
nm6237126	Kelly Worthington					actress|producer		Kelly Worthington is known for Meeting Kate (2023), Saltwater Gospel and Reading Kate (2015).
nm9838497	Yayoi Inamoto					actor		Yayoi Inamoto is known for Kushina, what will you be (2018) and 1 Litre of Tears (2005).
nm1173295	Matt Stuecken					miscellaneous|producer|writer	https://m.media-amazon.com/images/M/MV5BMjE2MzcyODA3MV5BMl5BanBnXkFtZTgwNTA3NTU2MjE@._V1_.jpg	Matt Stuecken is known for 10 Cloverfield Lane (2016), G.I. Joe: The Rise of Cobra (2009) and The Mummy: Tomb of the Dragon Emperor (2008).
nm15857100	Hôsei Ebara					producer		Hôsei Ebara is known for 1 Litre of Tears (2005).
