id	displayName	birthName	birthDate	birthLocation	heightCm	primaryProfessions	primaryImageUrl	biography
nm0950506	Jessica Yu	Jessica Lingman Yu	1966			director|producer|writer	https://m.media-amazon.com/images/M/MV5BNmVlZTJiMWMtMGQ1Zi00MDIwLWFkYjUtYjllOTEzZjMwMmUxXkEyXkFqcGc@._V1_.jpg	Jessica Yu was born in 1966. She is a director and producer, known for Fosse/Verdon (2019), Billions (2016) and Maria Bamford: Old Baby (2017). She is married to Mark Salzman.
nm0133781	Kamna Chandra					writer		Kamna Chandra is an Indian film writer who has written plays for radio, stories and dialogues for films as well as television.  She completed her schooling from Dehradun and obtained her bachelors degree from Allahabad University (India). Married to Navin Chandra, whom she met in 1952, she has three children - author Vikram Chandra, film critic Anupama Chopra and film director Tanuja Chandra
nm6649721	Seung-Hwan Lee					writer		Seung-Hwan Lee is known for 11 A.M. (2013) and Close Your Eyes (2017).
nm3808515	Daniel Moya					director|producer|writer	https://m.media-amazon.com/images/M/MV5BMmM1OWY3M2ItYTBlMi00NTc1LWJiZmMtNTlmYzU0N2RiNTU0XkEyXkFqcGc@._V1_.jpg	Daniel Moya is a writer, director, producer, and actor from Long Island. After studying at the Lee Strasberg Theater and Film Institute for 10 years, he graduated from the University of Southern California with a degree in Film/Television Production. He is known for 18½ (2021) and Rental (2017). He lives in New York.
nm15605568	Zeb Walters					cinematographer|music_department|writer		Zeb Walters is known for 1: Nenokkadine (2014).
nm5731579	Kathryn Robson					editor|editorial_department|producer		Kathryn Robson is known for Circus of Books (2019), Resynator (2024) and 31 (2016).
nm3192778	Betina Ip					editor|writer		Betina Ip is known for 3/4 (2017), Goleshovo (2008) and Sofia's Last Ambulance (2012).
nm2177308	Kearen Pang		1975-02-11			actress|director|writer	https://m.media-amazon.com/images/M/MV5BMjljNTljYjEtZDJiNy00NDU5LTg2NWEtYTMzZTVlNWQ3Y2FhXkEyXkFqcGc@._V1_.jpg	Kearen Pang is known for 29 + 1 (2017), Mama's Affair (2022) and In Geek We Trust (2021).
nm1450132	Jan Holoubek		1978-03-04	Warsaw, Mazowieckie, Poland		camera_department|cinematographer|director	https://m.media-amazon.com/images/M/MV5BYjg5N2Y4NjMtZWY4MC00YWE2LWE2MjctN2I5YjRkNDgyMmQ5XkEyXkFqcGc@._V1_.jpg	"Late 70' child, born in Warsaw, who after graduation in the Cinematography Department of Lodz Film School was carefully cared for, as he mastered his eyes under Edward Klosinski and Witold Sobocinski mastership. Since 2004, he has been working independently as a cinematographer in the production of feature films, television and advertising. He worked on the set of films with Juliusz Machulski, Krzysztof Zanussi, Jerzy Stuhr or Krystyna Janda. In 2007, he made his directorial debut with the documentary ""The Sun and the Shadow"", which was awarded at many festivals. In 2014, he made the mockumentary ""Postcards from the Republic of Absurd"". In 2018, he directed the famous crime drama series ""Rojst"", written together with Kasper Bajon.  His latest feature film ""25 Years of innocence"", which is also his directing feature debut, was very well received both by critics and the audience. The picture was appreciated at film festivals and showered with numerous awards in the country and abroad, such as: the award for directing debut at the 45th Polish Film Festival in Gdynia and 15 nominations for the Polish Film Awards Orly 2021, including for the best director, film and discovery of the year. He also received awards at the Camerimage festival, a Special Mention in the Polish Films Competition and five statuettes at the Koszalin Festival of Film Debuts ""Mlodzi i Film"". The film also received awards at the Black Nights Film Festival in Tallinn and at the Nuovo Cinema Europa Festival in Genoa. The director was also the laureate of the Janusz""Kuba"" Morgenstern's ""Perspektywa"" prize. Since 2011 Jan is a member of Polish Association of Cinematographers.  The director is in the production of the series ""Rojst'97"" and ""High Water""."
nm1490232	Jeffrey De Serrano					actor|producer|writer	https://m.media-amazon.com/images/M/MV5BMTY0OTQ2ODkwN15BMl5BanBnXkFtZTcwMzM5MTEzMQ@@._V1_.jpg	"Jeff De Serrano a Cleveland Ohio native, arrived in New York City to pursue a career in acting after receiving a degree from Ohio University. Jeff came to Los Angeles working on the pilot of MTV's Lyricists Lounge, and decided to make The City of Angels his home. Since, Jeff has been able to put together a body of work on Television, on shows such as CSI Miami, Karen Cisco, Ncis LA, Dexter and HBO's Family Tree to name a few. He has also been fortunate to have worked with Directors such as, J J Abrahms, Cameron Crow, Matt Reeves and Jonathan Mastow in his feature film career. Jeff also enjoys being a part of the LA theater scene performing in productions of ""Short Eyes"" by Miguel Pinero at Latc, Seth Zvi Rosenfelds ""Handball"" and Pasadena Playhouse's production of ""Stop Kiss"" by DIana Son."
