id	displayName	birthName	birthDate	birthLocation	heightCm	primaryProfessions	primaryImageUrl	biography
nm3635623	Kohl Harrington					director|producer|visual_effects		Kohl Harrington is known for Pet Fooled (2016), 2012 (2009) and Hugo (2011).
nm0049995	Ruth Ann Baldwin		1886-09-30	West Suffield, Connecticut, USA		director|writer		Ruth Ann Baldwin was born on 30 September 1886 in West Suffield, Connecticut, USA. She is known for '49-'17 (1917), The Black Mantilla (1917) and The Storm Woman (1917).
nm1736326	Davy Rothbart					actor|director|producer	https://m.media-amazon.com/images/M/MV5BMDE5MGE2YjctYWY3Mi00MzMyLWFkYjctMTVhYTVlODJkOWMyXkEyXkFqcGc@._V1_.jpg	"Davy Rothbart is a bestselling author, Emmy Award-winning filmmaker, contributor to NPR's This American Life, and the creator of FOUND Magazine. His latest film, 17 Blocks, has been called ""unshakable"" (NY Times), ""harrowing, heartwarming, and heartbreaking,"" (Hollywood Reporter) and ""a singular achievement in documentary filmmaking"" (Variety), and will be released in 2020. His previous feature, Medora, co-directed with Andrew Cohn, won a 2015 Emmy Award. For his work as a writer, director, and creator of FOUND Magazine, Rothbart has been profiled in the New Yorker and the New York Times, and appeared twice on The Late Show with David Letterman. He is also the founder of Washington To Washington, an annual hiking adventure for city kids. He lives in Los Angeles."
nm4536380	Mariam Abu Ouf	Mariam Muhammad Ezzat Ahmad Shafiq Abou Ouf				assistant_director|director|writer		"Mariam Abo-Ouf is an Egyptian director, and daughter of the famous actor Ezzat Abo-Ouf. She was born in Cairo and studied political science at college, before moving to England to study filmmaking. She debuted with the short film ""Taxi"", and also worked as an assistant director to several directors including Kamla Abo-Zekry and Sherif Arafa, after which she started directing episodes in the television series ""Lahazat Harega"" (Critical Moments) in 2007. Her first television series was ""Hala wel Mestakhabby"" (Hala and the Unleashed), which was critically acclaimed."
nm0854976	Daisuke Tengan	Daisuke Imamura	1959-12-14	Tokyo, Japan		director|producer|writer		He is the first son of director Shohei Imamura. He graduated from Ryuku University. In 1984 he joined Shinchosha, but left in 1991 to pursue a creative career. His directing debut was in 1990. He was also a screenwriter on movies of such directors as Shôhei Imamura and Takashi Miike.
nm6125824	Dee Poon					director		Dee Poon is known for 42 One Dream Rush (2010).
nm15622037	Horse Babu					director|stunts		Horse Babu is known for 36 China Town (2006).
nm1736524	Stephen Ford	Stephen Sean Lunsford-White	1989-11-25	Sacramento, California, USA	180	actor|director|producer	https://m.media-amazon.com/images/M/MV5BMTgwM2M2NDgtNTQzOC00OTllLTg4MDYtMmE5ZTJiMTY5ODhiXkEyXkFqcGc@._V1_.jpg	"Stephen Ford is a Swedish-American actor and director. After acting in shows like Teen Wolf, Switched At Birth and Private Practice he began his own production company, Ascndr. His career started at a young age when he began doing commercials and creating short films with his neighborhood friends.  As his family was in the military, he moved around the United States a lot as a kid, growing up in Alaska, Alabama, California, Kansas and Florida. After relocating to Los Angeles as a teenager, he skipped around various Disney, Fox and Nickelodeon sitcoms. This led him to starring in the American adaptation of Kamen Rider Ryuki as the lead of CW's Kamen Rider Dragon Knight.  Since then he has appeared in various indie films and hit television shows like ABC's Private Practice and Desperate Housewives, MTV's Teen Wolf and Freeform's Switch At Birth.  He took a break from acting to focus on directing in 2014 following some life-changing events. When he returned to the industry, he partnered with the Warner Brothers YouTube company Machinima as their lead narrative show runner. After which he created his own production company Ascndr with the motto: ""Low budgets, High Concepts."""
nm0909547	Baillie Walsh					actor|cinematographer|director	https://m.media-amazon.com/images/M/MV5BZTVlMDVjNzctMzUwNC00NGRmLWEyMmUtYmZiMzA3YTc2YjRkXkEyXkFqcGc@._V1_.jpg	"Baillie Walsh combines dramatic precision and technical craftsmanship across commercials, music videos, documentaries, and feature films.  He has created award winning films for the likes of Levis, Sony, Huawei, Citroën, Versace, Hugo Boss, Cartier, YSL, and Thierry Mugler; with stars including Eva Mendes, Ryan Reynolds, Scarlett Johansson, and Anne Hathaway. And music videos for artists as diverse as Oasis, Kylie Minogue, New Order, INXS, and Spiritualized.  Other notable works include the hologram installation of Kate Moss for designer Alexander McQueen, Massive Attack's seminal 'Unfinished Sympathy' video, and 2018's 'Malaria Must Die So Millions Can Live' - the charity film, starring David Beckham, reached over 1.3 billion people.  Baillie made his dramatic feature-film debut with 'Flashbacks of a Fool', starring Daniel Craig and Felicity Jones, which he wrote and directed. He has since directed the ground-breaking crowd-sourced fan documentary 'Springsteen & I' which received widespread acclaim. - Being James Bond for Apple TV is a retrospective and a meditation on the tenure of Daniel Craig. "" this is not a documentary per se... Instead it is something more, it is a triumphant celebration of the actor himself ""  His latest work is ABBA Voyage which has received rave reviews across the board -"
nm0205014	Lee Davis					director|production_department|writer	https://m.media-amazon.com/images/M/MV5BNGE1MWM4ZWEtYTBmNy00NWVmLThiZmUtNjU2ZjMwMWE5NWZiXkEyXkFqcGc@._V1_.jpg	"Born and raised in the Northeast Bronx, Lee Davis credits his love of filmmaking to his father taking him to the movies at a young age.  After graduating from Fordham University in the Bronx, Davis worked at Tower Records in the village a job that afforded him the opportunity to work on films while still drawing a salary. A chance meeting with Spike Lee in Tower Records turned into the opportunity of a lifetime.  Davis apprenticed with Spike Lee at 40 Acres & A Mule Filmworks on such films as Malclom X, Crooklyn, Jungle Fever and Mo Better Blues.  Following Davis' short film A Gut Feeling in 1999 starring Saul Williams and Ruben Santiago-Hudson, executive produced by Spike Lee and produced by Shan Browning and John Murchison. The film premiered at the Noosa Film Festival in Australia, Urban-world Film Festival in New York, and was seen nationwide on The Sci-Fi Channel.  In 2000 Lee Davis was named as one of Variety Magazine's Top Ten Screenwriters To Watch. That year he wrote and directed 3AM , developed by The Sundance Institute. The Showtime Original film premiered at the Sundance Film Festival, and starred Danny Glover, Pam Grier, Michelle Rodriguez, executive-produced by Spike Lee. The film garnered Davis two cable nominations including Best Director.  In 2001 Lee Davis wrote & directed Flicker a Hi-Def long form short film for the Sci-Fi Channel. That year Miramax purchased his original screenplay, Dance On Two.  In 2003 Davis served as a screenwriter advisor at the prestigious Oaxaca (formerly Sundance) Screenwriting Lab in Mexico, to Latin American screenwriters.  In 2004 Davis directed Christmas At Waters Edge, starring Keisha Knight Pulliam, Pooch Hall, and Tom Bosley.  In 2013 Davis directed West Side Girl an 11 minute short film for the artist Bilal.  In 2009 Lee Davis directed Romance Is Served, a documentary that is an ""intimate entertainment experience"" about romance in Los Angeles. The film premiered at the 2009 Belize Film Festival and received the award for Best Documentary.  2009 marked the theatrical release of Davis' documentary hoop reality which chronicles the lives of schoolyard legend Arthur Agee, and Patrick Beverley, a prolific high school scorer. In 2007 Davis directed The King & I, a film component of the Los Angles presentation of Susan Lori Parks prestigious ""365 plays in 365 Days."""
